Indirizzo;Civico;Tipologia;mq;Note;Decreto Min. n°;Data;Foglio;Part.;Sub;Disponibilità;Associazione Assegnataria;Determina Dirigenziale n.;Data;Data  Scadenza;Trascr.
Via Gambetta;46;villetta;;;79223;03/12/1999;28;787;3;assegnato;Uff. casa all.emerg.;16/46;15/06/2009;;
Via Gongola;;villetta;;da ristrutturare, villaggio cielo Azzurro, Baia dei Mori Vaccarizzo 4a strada;72941;30/11/1999;68;1091;;libero;nessuna;A16/037;27/03/2008;26/03/14;
Via Nazario Sauro;;appartam.;;Riconsegnato sett. 2013, ang. V.D. Chiesa;75519;30/11/1999;21;2102;10;libero;nessuna;11/A112;14/06/2001;30/04/06;
Via Nazario Sauro;;appartam.;;ang. V.D. Chiesa;75519;30/11/1999;21;2102;1;assegnato;Uff. casa all. energ.;Det. 16/45;15/06/2009;;
Via Nazario Sauro;;appartam.;;ang. V.D. Chiesa;79221;03/12/1999;21;2102;8;assegnato;AVULSS  -  ONLUS;C4/009;29/01/2008;16/11/09;
Via Randazzo;27;appartam.;;Non assegnabile ad usi civili  H. 2.40 Revoca assegnazione  ott.2013;79225;03/12/1999;13;701;;assegnato;ANVEZ;B16/530;21/08/2013;;
Via Randazzo;27;giardino;;Non assegnabile ad usi civili  H. 2.40 Revoca assegnazione  ott.2013;79225;03/12/1999;13;716;1;assegnato;ANVEZ;B16/531;22/08/2013;;
Via Masaniello;4/A;bottega;;Da ristrutturare;75523;30/11/1999;28;2020;7;assegnato;Ass. Siculo-Rumena;B16/583;17/09/2012;;
Via Anapo;16/18;magazzino;;;76112;12/11/1999;17;118;17;assegnato;Comune di Catania;;;;
Via Anapo;16/18;magazzino;;;76112;13/11/1999;17;117;12;assegnato ;CT FIADDA ONLUS;A16/002;14/01/2009;14/01/12;
Via Caprera;28/30;garage;;;7521;18/11/1999; 69/Z;1421;;libero;demolito;;;;
Via Alfonzetti;73;appartam.;;;49807;03/08/2000;69;16115;5;assegnato;Centro aiuto alla vita ;11 A 111;14/06/2001;24/01/10;
Via Monte S. Agata;6;appartam.;;vani 2;34908;21/10/2002;69;4532;17;assegnato;Comune di Catania;;;;
Via Monte S. Agata;6;appartam.;;vani 9;34908;21/10/2002;69;4532;14;assegnato;Comune di Catania;;;;
Via Monte S. Agata;6;appartam.;;vani 3 da ristrutturare;34908;21/10/2002;69;4532;15;assegnato;Comune di Catania;;;;
Via Rombo, c.da Vaccarizzo;;villetta;;Vill.Delfino;16197;02/05/2003;68;860;2,3;assegnato;A.U.S.L.  3;C4/102;11/10/2008;30/09/2009
Via Segusio;;Terr.;530;are 5,30;2538;06/03/2006;36;248;;assegnato;Ass. Siculo-Rumena;B16/583;17/09/2012;;
Via Segusio;;fabbric.;70;are 5,30;2538;06/03/2006;36;248;;assegnato;Ass. Siculo-Rumena;B16/583;17/09/2012;;
Via F. Delpino, c.da Zia Lisa;10;terreno;;are 5,35;5494;22/02/2008;36;280;;assegnato;Centro Astalli;Delib.  G. M.;;19/12/2009;
Via F. Delpino, c.da Zia Lisa;12;magazzino;377;;5494;22/02/2008;36;280;2;assegnato;Centro Astalli;;;;
Via Delpino, c.da Zia Lisa;12;appartam.;100;vani 5;5494;22/02/2008;36;280;3;assegnato;Centro Astalli;;;;
Via F. Delpino, c.da Zia Lisa;14;garage;70;;5494;22/02/2008;N.C.;N.C.;N.C.;assegnato;Centro Astalli;;;;
Via F. Delpino, c.da Zia Lisa;14;magazzino;117;app.;5494;22/02/2008;36;280;4;assegnato;Centro Astalli;;;;
Via Delpino, c.da Zia Lisa;12;lastrico solare;100;vani 5;5494;22/02/2008;36;280;5;assegnato;Centro Astalli;;;;
Via G.Finocchiaro;112;appartam.;100;p. 6º app.;41370;28/05/2009;16;179;24;assegnato;Libera e AddioPizzo  ;A16/014;29/01/2009;28/01/2012;
Via Savasta;26/A;garage;11;p.1°  S.;9000720;14/10/2010;16;179;61;assegnato;Libera e AddioPizzo;A16/014;29/01/2009;28/01/2012;
Via P. Dell’Ova;133;appartam.;;p. 1°, vani cat. 5;11511;2009;3;208;;assegnato;Coop. Omega;B16/836;26/11/2012;;
Via P. Dell’Ova;137;appartam.;;p.t., vani cat. 6,5;11511;2009;3;209;1;assegnato;Coop. Omega;B16/836;26/11/2012;;
Via P. Dell’Ova;137;appartam.;;p. 1°, vani cat. 5;11511;2009;3;209;2;assegnato;Coop. Omega;B16/836;26/11/2012;;
Via Tito Speri;;Terr.;262;;33632;07/08/2009;28;1376;;libero;nessuna;;;;
